created_at,id,truncated,user_id,user_name,user_screen_name,user_location,user_description,user_friends_count,user_followers_count,user_listed_count,user_favourites_count,user_statuses_count,user_created_at,user_lang,quote_count,reply_count,retweet_count,favorite_count,lang,timestamp_ms,subjectivity,polarity,full_text
12/27/2018 6:56,1078099792381830000,FALSE,194140065,Kartikey Shroff,kdshroff,Kapadwanj-Gujarat-India,"Advocate, Gujarat High Court. All my Tweets are personal. Re-tweets may not be deemed as my endorsement. तमसो मा ज्योतिर्गमय",382,6581,37,43547,66120,9/23/2010 20:10,en,0,0,0,0,en,1.54587E+12,0,0,RT @JayasreeVijayan: Chandigarh: Senior BJP leader from Amritsar&amp; former Punjab health minister Laxmi Kanta Chawla has taken on her party’s…
12/27/2018 6:56,1078099871343740000,FALSE,1033704689823610000,💞 Madam_ka_yar 💞,Aeiou63007255,None,Secular and democratic. Views personal. Retweets not necessarily endorsements.,99,112,0,25488,22369,8/26/2018 18:46,en,0,0,0,0,en,1.54587E+12,0.75,0.25,RT @thewire_in: Many say @nitin_gadkari has only thrown a stone at the glass wall @narendramodi and @AmitShah have built around them. More…
12/27/2018 6:56,1078099878352300000,FALSE,989476899645616000,Yogesh  Varade,YogeshVarade7,None,None,54,116,0,18072,16240,4/26/2018 17:40,en,0,0,0,0,mr,1.54587E+12,0,0,RT @MySarkarnama: बाबा रामदेवांचा मोदींवर भरोसा नाय काय ? https://t.co/1EPvbuZH7z
12/27/2018 6:56,1078099891359010000,FALSE,1859863436,Amit Sachdeva,amitsachdevaa,"Newark, DE",Social Entrepreneur/ Social Worker/Author/ Speaker/ Teacher,271,173,3,793,729,9/13/2013 13:25,en,0,0,0,0,en,1.54587E+12,0.4,0.8,Lok Sabha election 2019: Can Narendra Modi make BJP win like Atal Bihari Vajpayee in 1999? https://t.co/5CYXRgVpLj
12/27/2018 6:57,1078099918479330000,FALSE,911070817676533000,Satpal Rose,satpal_rose,Rewari,"Congress IT Cell , Bawal (Rewari)",69,40,0,2982,2997,9/22/2017 9:03,en,0,0,0,0,en,1.54587E+12,0.1,-0.1,"RT @SimmiAhuja_: BJP has lost the plot, things are slipping out of Narendra Modi’s hands: Zafar Sareshwala  close associate of  Prime Minis…"
12/27/2018 6:57,1078099920316390000,FALSE,854854125829410000,Shobhit Jayaswal🇮🇳,ShobhitJDhoni,"India , (Ranchi)",@NarendraModi🇮🇳 Ka Fan... #Bhakt #MODIBrigade जय हिंद🇮🇳 भारत माता की जय!🇮🇳 @msdhoni 🚁 is 💛. @BeingSalmanKhan🚗 ❤️,1329,317,1,21994,7292,4/20/2017 5:58,en,0,0,0,0,en,1.54587E+12,0,0,RT @narendramodi: Looking forward to being in Devbhoomi Himachal Pradesh tomorrow for a @BJP4Himachal rally in Dharamshala. You can watch t…
12/27/2018 6:57,1078099962368610000,FALSE,1056236216079790000,Rinku Sahu,RinkuSa42505198,None,None,45,4,0,265,164,10/27/2018 22:58,en,0,0,0,0,en,1.54587E+12,0,0,RT @narendramodi: Looking forward to being in Devbhoomi Himachal Pradesh tomorrow for a @BJP4Himachal rally in Dharamshala. You can watch t…
12/27/2018 6:57,1078099984967490000,FALSE,168185763,Neeraj Kavedia,kavedia_nd,"India, Mumbai, Malad","Networking, Training people to have strong basics of life, YOLO ✌",91,459,185,36464,74757,7/18/2010 22:25,en,0,0,0,0,en,1.54587E+12,0,0,RT @narendramodi: Looking forward to being in Devbhoomi Himachal Pradesh tomorrow for a @BJP4Himachal rally in Dharamshala. You can watch t…
12/27/2018 6:57,1078100047709970000,FALSE,1043187785471950000,Rathore KV,RathoreKV1,None,None,85,84,0,5444,4372,9/21/2018 22:48,en,0,0,0,0,hi,1.54587E+12,0,0,"RT @KumariRukshmani: #PMModi पर बरसे शरद पवार, बोले गांधी- नेहरू परिवार ने देश के लिए बलिदान दिया..!!  @RahulGandhi @ashokgehlot51 @SachinP…"
12/27/2018 6:57,1078100068983620000,FALSE,719057588650909000,Anilkumar Tiwari,7773anilkumar,None,None,135,34,0,2158,1658,4/10/2016 12:31,en,0,0,0,0,hi,1.54587E+12,0,0,RT @JPNadda: स्वागत है आदरणीय प्रधानमंत्री श्री @narendramodi जी का देवभूमि हिमाचल में।  हिमाचल और हिमाचलवासियों के लिए मोदी जी के मन में ए…
12/27/2018 6:57,1078100072980570000,FALSE,1050677757011610000,Jaiprakash,Jaiprak20653031,"रायपुर, भारत",देश भक्त,511,74,1,5704,11336,10/12/2018 14:51,en,0,0,0,0,en,1.54587E+12,0,0,RT @narendramodi: Looking forward to being in Devbhoomi Himachal Pradesh tomorrow for a @BJP4Himachal rally in Dharamshala. You can watch t…
